x,Curve1
399.7683,6.9647
400.886,7.9828
401.6315,8.9225
402.6875,10.0972
403.8676,11.3501
404.9856,12.6031
406.1038,13.9344
406.912,15.344
407.9677,16.3621
408.9002,17.9283
410.705,22.3923
411.2656,24.1936
411.7024,26.0732
412.0144,27.4046
412.3271,29.2842
412.7027,31.7121
413.0154,33.5917
413.2662,35.4714
413.517,37.4293
416.0966,63.431
416.3467,64.8407
416.5974,66.7204
416.7862,68.6783
417.099,70.558
417.2257,72.4376
417.4145,74.3956
417.6033,76.3535
417.9161,78.2332
417.9816,80.6611
418.2943,82.5407
418.6714,86.065
418.8602,88.023
419.049,89.9026
419.2998,91.8606
419.5505,93.7402
420.0491,95.4632
420.2994,97.0295
421.1078,98.5958
422.2259,99.8488
423.5897,99.457
424.5799,98.0472
425.3837,96.324
426.3102,93.7394
426.9278,91.938
427.1126,91.0764
427.8535,88.7268
427.8547,89.5883
428.5334,87.1603
428.9039,85.9854
429.5216,84.2623
430.0769,82.3043
430.8187,80.5812
431.4978,78.4665
432.3019,76.9783
432.9816,75.2552
433.7237,73.767
434.8375,72.0439
436.2008,71.2605
437.7509,71.1037
439.1766,70.6336
440.4158,69.8502
441.6546,68.7536
442.8313,67.657
444.1937,66.3254
445.3704,65.1505
446.4229,63.8972
447.5371,62.4874
448.4652,60.9992
449.5793,59.4326
450.321,57.7095
451.1249,56.0647
451.9907,54.3416
452.7325,52.6968
453.4122,50.9737
454.154,49.2506
454.8337,47.5275
455.699,45.491
456.3787,43.7679
457.0584,41.9665
457.6146,40.635
458.2326,39.1469
458.7882,37.3454
459.406,35.7007
460.3968,34.6824
461.5114,33.5075
462.5643,32.4892
463.8653,31.5492
465.1042,30.6092
466.281,29.5126
467.4578,28.4943
468.7587,27.476
470.0596,26.4577
471.2983,25.361
472.5372,24.3427
473.8381,23.3244
475.1389,22.3061
476.3778,21.2878
478.1742,19.8778
479.4753,19.0162
480.839,18.5461
482.0785,17.9977
483.504,17.371
484.6195,16.8226
485.983,16.1959
487.4706,15.6475
488.8339,14.9424
490.1975,14.394
491.6234,14.0806
491.6847,13.6106
493.1106,13.2972
494.5362,12.7488
495.8997,12.1221
497.3874,11.652
498.8129,11.1036
499.9283,10.4769
501.3545,10.32
502.4083,10.0066
503.8962,9.6932
505.384,9.3014
506.8721,9.0663
508.36,8.7528
509.8479,8.4393
511.398,8.2042
512.886,7.9691
514.374,7.7339
515.9241,7.4988
517.412,7.1853
518.8379,6.8719
