n,L_cm,ngen,trigger_ge2,M2,M3,M4,f01,f23,f02,f13,f03,f12,same_layer_frac
1.5,8.0,3000000,201,201,0,0,0.0000,0.0000,0.5075,0.4876,0.0050,0.0000,0.0000
1.5,9.0,3000000,155,155,0,0,0.0000,0.0000,0.4581,0.4645,0.0452,0.0323,0.0000
1.5,10.0,3000000,131,131,0,0,0.0000,0.0000,0.3893,0.5038,0.0458,0.0611,0.0000
1.5,11.0,3000000,88,88,0,0,0.0000,0.0000,0.3409,0.4886,0.0682,0.1023,0.0000
1.5,12.0,3000000,85,85,0,0,0.0000,0.0000,0.3176,0.4000,0.1529,0.1294,0.0000
2.0,8.0,3000000,202,202,0,0,0.0000,0.0000,0.5099,0.4851,0.0000,0.0050,0.0000
2.0,9.0,3000000,183,183,0,0,0.0000,0.0000,0.4918,0.4863,0.0055,0.0164,0.0000
2.0,10.0,3000000,154,154,0,0,0.0000,0.0000,0.4286,0.5130,0.0260,0.0325,0.0000
2.0,11.0,3000000,132,132,0,0,0.0000,0.0000,0.4242,0.3636,0.0909,0.1212,0.0000
2.0,12.0,3000000,106,106,0,0,0.0000,0.0000,0.3302,0.4434,0.0755,0.1509,0.0000
2.5,8.0,3000000,295,295,0,0,0.0000,0.0000,0.5288,0.4678,0.0034,0.0000,0.0000
2.5,9.0,3000000,187,187,0,0,0.0000,0.0000,0.5187,0.4652,0.0000,0.0160,0.0000
2.5,10.0,3000000,139,139,0,0,0.0000,0.0000,0.4532,0.4892,0.0360,0.0216,0.0000
2.5,11.0,3000000,160,160,0,0,0.0000,0.0000,0.4688,0.3625,0.0750,0.0938,0.0000
2.5,12.0,3000000,137,137,0,0,0.0000,0.0000,0.3796,0.3504,0.1241,0.1460,0.0000
3.0,8.0,3000000,272,272,0,0,0.0000,0.0000,0.4779,0.5147,0.0000,0.0074,0.0000
3.0,9.0,3000000,218,218,0,0,0.0000,0.0000,0.4771,0.4954,0.0183,0.0092,0.0000
3.0,10.0,3000000,198,198,0,0,0.0000,0.0000,0.4798,0.4495,0.0303,0.0404,0.0000
3.0,11.0,3000000,192,192,0,0,0.0000,0.0000,0.4479,0.4323,0.0521,0.0677,0.0000
3.0,12.0,3000000,120,120,0,0,0.0000,0.0000,0.4750,0.3167,0.0833,0.1250,0.0000
