n,L,topology,kind,P_slab_inclusive,P_slab_exclusive,n_inc,n_exc
1.5,8.0,01,same-layer,nan,nan,0,0
1.5,8.0,23,same-layer,nan,nan,0,0
1.5,8.0,02,cross same-side,1.0000,1.0000,102,102
1.5,8.0,13,cross same-side,1.0000,1.0000,98,98
1.5,8.0,03,cross diagonal,1.0000,1.0000,1,1
1.5,8.0,12,cross diagonal,nan,nan,0,0
1.5,9.0,01,same-layer,nan,nan,0,0
1.5,9.0,23,same-layer,nan,nan,0,0
1.5,9.0,02,cross same-side,1.0000,1.0000,71,71
1.5,9.0,13,cross same-side,1.0000,1.0000,72,72
1.5,9.0,03,cross diagonal,1.0000,1.0000,7,7
1.5,9.0,12,cross diagonal,1.0000,1.0000,5,5
1.5,10.0,01,same-layer,nan,nan,0,0
1.5,10.0,23,same-layer,nan,nan,0,0
1.5,10.0,02,cross same-side,1.0000,1.0000,51,51
1.5,10.0,13,cross same-side,1.0000,1.0000,66,66
1.5,10.0,03,cross diagonal,1.0000,1.0000,6,6
1.5,10.0,12,cross diagonal,1.0000,1.0000,8,8
1.5,11.0,01,same-layer,nan,nan,0,0
1.5,11.0,23,same-layer,nan,nan,0,0
1.5,11.0,02,cross same-side,1.0000,1.0000,30,30
1.5,11.0,13,cross same-side,1.0000,1.0000,43,43
1.5,11.0,03,cross diagonal,1.0000,1.0000,6,6
1.5,11.0,12,cross diagonal,1.0000,1.0000,9,9
1.5,12.0,01,same-layer,nan,nan,0,0
1.5,12.0,23,same-layer,nan,nan,0,0
1.5,12.0,02,cross same-side,1.0000,1.0000,27,27
1.5,12.0,13,cross same-side,1.0000,1.0000,34,34
1.5,12.0,03,cross diagonal,1.0000,1.0000,13,13
1.5,12.0,12,cross diagonal,1.0000,1.0000,11,11
2.0,8.0,01,same-layer,nan,nan,0,0
2.0,8.0,23,same-layer,nan,nan,0,0
2.0,8.0,02,cross same-side,1.0000,1.0000,103,103
2.0,8.0,13,cross same-side,1.0000,1.0000,98,98
2.0,8.0,03,cross diagonal,nan,nan,0,0
2.0,8.0,12,cross diagonal,1.0000,1.0000,1,1
2.0,9.0,01,same-layer,nan,nan,0,0
2.0,9.0,23,same-layer,nan,nan,0,0
2.0,9.0,02,cross same-side,1.0000,1.0000,90,90
2.0,9.0,13,cross same-side,1.0000,1.0000,89,89
2.0,9.0,03,cross diagonal,1.0000,1.0000,1,1
2.0,9.0,12,cross diagonal,1.0000,1.0000,3,3
2.0,10.0,01,same-layer,nan,nan,0,0
2.0,10.0,23,same-layer,nan,nan,0,0
2.0,10.0,02,cross same-side,1.0000,1.0000,66,66
2.0,10.0,13,cross same-side,1.0000,1.0000,79,79
2.0,10.0,03,cross diagonal,1.0000,1.0000,4,4
2.0,10.0,12,cross diagonal,1.0000,1.0000,5,5
2.0,11.0,01,same-layer,nan,nan,0,0
2.0,11.0,23,same-layer,nan,nan,0,0
2.0,11.0,02,cross same-side,1.0000,1.0000,56,56
2.0,11.0,13,cross same-side,1.0000,1.0000,48,48
2.0,11.0,03,cross diagonal,1.0000,1.0000,12,12
2.0,11.0,12,cross diagonal,1.0000,1.0000,16,16
2.0,12.0,01,same-layer,nan,nan,0,0
2.0,12.0,23,same-layer,nan,nan,0,0
2.0,12.0,02,cross same-side,1.0000,1.0000,35,35
2.0,12.0,13,cross same-side,1.0000,1.0000,47,47
2.0,12.0,03,cross diagonal,1.0000,1.0000,8,8
2.0,12.0,12,cross diagonal,1.0000,1.0000,16,16
2.5,8.0,01,same-layer,nan,nan,0,0
2.5,8.0,23,same-layer,nan,nan,0,0
2.5,8.0,02,cross same-side,1.0000,1.0000,156,156
2.5,8.0,13,cross same-side,1.0000,1.0000,138,138
2.5,8.0,03,cross diagonal,1.0000,1.0000,1,1
2.5,8.0,12,cross diagonal,nan,nan,0,0
2.5,9.0,01,same-layer,nan,nan,0,0
2.5,9.0,23,same-layer,nan,nan,0,0
2.5,9.0,02,cross same-side,1.0000,1.0000,97,97
2.5,9.0,13,cross same-side,1.0000,1.0000,87,87
2.5,9.0,03,cross diagonal,nan,nan,0,0
2.5,9.0,12,cross diagonal,1.0000,1.0000,3,3
2.5,10.0,01,same-layer,nan,nan,0,0
2.5,10.0,23,same-layer,nan,nan,0,0
2.5,10.0,02,cross same-side,1.0000,1.0000,63,63
2.5,10.0,13,cross same-side,1.0000,1.0000,68,68
2.5,10.0,03,cross diagonal,1.0000,1.0000,5,5
2.5,10.0,12,cross diagonal,1.0000,1.0000,3,3
2.5,11.0,01,same-layer,nan,nan,0,0
2.5,11.0,23,same-layer,nan,nan,0,0
2.5,11.0,02,cross same-side,1.0000,1.0000,75,75
2.5,11.0,13,cross same-side,1.0000,1.0000,58,58
2.5,11.0,03,cross diagonal,1.0000,1.0000,12,12
2.5,11.0,12,cross diagonal,1.0000,1.0000,15,15
2.5,12.0,01,same-layer,nan,nan,0,0
2.5,12.0,23,same-layer,nan,nan,0,0
2.5,12.0,02,cross same-side,1.0000,1.0000,52,52
2.5,12.0,13,cross same-side,1.0000,1.0000,48,48
2.5,12.0,03,cross diagonal,1.0000,1.0000,17,17
2.5,12.0,12,cross diagonal,1.0000,1.0000,20,20
3.0,8.0,01,same-layer,nan,nan,0,0
3.0,8.0,23,same-layer,nan,nan,0,0
3.0,8.0,02,cross same-side,1.0000,1.0000,130,130
3.0,8.0,13,cross same-side,1.0000,1.0000,140,140
3.0,8.0,03,cross diagonal,nan,nan,0,0
3.0,8.0,12,cross diagonal,1.0000,1.0000,2,2
3.0,9.0,01,same-layer,nan,nan,0,0
3.0,9.0,23,same-layer,nan,nan,0,0
3.0,9.0,02,cross same-side,1.0000,1.0000,104,104
3.0,9.0,13,cross same-side,1.0000,1.0000,108,108
3.0,9.0,03,cross diagonal,1.0000,1.0000,4,4
3.0,9.0,12,cross diagonal,1.0000,1.0000,2,2
3.0,10.0,01,same-layer,nan,nan,0,0
3.0,10.0,23,same-layer,nan,nan,0,0
3.0,10.0,02,cross same-side,1.0000,1.0000,95,95
3.0,10.0,13,cross same-side,1.0000,1.0000,89,89
3.0,10.0,03,cross diagonal,1.0000,1.0000,6,6
3.0,10.0,12,cross diagonal,1.0000,1.0000,8,8
3.0,11.0,01,same-layer,nan,nan,0,0
3.0,11.0,23,same-layer,nan,nan,0,0
3.0,11.0,02,cross same-side,1.0000,1.0000,86,86
3.0,11.0,13,cross same-side,1.0000,1.0000,83,83
3.0,11.0,03,cross diagonal,1.0000,1.0000,10,10
3.0,11.0,12,cross diagonal,1.0000,1.0000,13,13
3.0,12.0,01,same-layer,nan,nan,0,0
3.0,12.0,23,same-layer,nan,nan,0,0
3.0,12.0,02,cross same-side,1.0000,1.0000,57,57
3.0,12.0,13,cross same-side,1.0000,1.0000,38,38
3.0,12.0,03,cross diagonal,1.0000,1.0000,10,10
3.0,12.0,12,cross diagonal,1.0000,1.0000,15,15
