n,L,M2_count,01,23,02,13,03,12,same_layer_frac,G_test_vs_data
1.5,8.0,201,0.0000,0.0000,0.5075,0.4876,0.0050,0.0000,0.0000,-29.08
1.5,9.0,155,0.0000,0.0000,0.4581,0.4645,0.0452,0.0323,0.0000,-94.41
1.5,10.0,131,0.0000,0.0000,0.3893,0.5038,0.0458,0.0611,0.0000,-105.21
1.5,11.0,88,0.0000,0.0000,0.3409,0.4886,0.0682,0.1023,0.0000,-128.30
1.5,12.0,85,0.0000,0.0000,0.3176,0.4000,0.1529,0.1294,0.0000,-159.71
2.0,8.0,202,0.0000,0.0000,0.5099,0.4851,0.0000,0.0050,0.0000,-75.15
2.0,9.0,183,0.0000,0.0000,0.4918,0.4863,0.0055,0.0164,0.0000,26.66
2.0,10.0,154,0.0000,0.0000,0.4286,0.5130,0.0260,0.0325,0.0000,-64.50
2.0,11.0,132,0.0000,0.0000,0.4242,0.3636,0.0909,0.1212,0.0000,-158.86
2.0,12.0,106,0.0000,0.0000,0.3302,0.4434,0.0755,0.1509,0.0000,-139.73
2.5,8.0,295,0.0000,0.0000,0.5288,0.4678,0.0034,0.0000,0.0000,-12.45
2.5,9.0,187,0.0000,0.0000,0.5187,0.4652,0.0000,0.0160,0.0000,-119.65
2.5,10.0,139,0.0000,0.0000,0.4532,0.4892,0.0360,0.0216,0.0000,-69.16
2.5,11.0,160,0.0000,0.0000,0.4688,0.3625,0.0750,0.0938,0.0000,-150.49
2.5,12.0,137,0.0000,0.0000,0.3796,0.3504,0.1241,0.1460,0.0000,-167.16
3.0,8.0,272,0.0000,0.0000,0.4779,0.5147,0.0000,0.0074,0.0000,-85.89
3.0,9.0,218,0.0000,0.0000,0.4771,0.4954,0.0183,0.0092,0.0000,-9.36
3.0,10.0,198,0.0000,0.0000,0.4798,0.4495,0.0303,0.0404,0.0000,-86.56
3.0,11.0,192,0.0000,0.0000,0.4479,0.4323,0.0521,0.0677,0.0000,-123.61
3.0,12.0,120,0.0000,0.0000,0.4750,0.3167,0.0833,0.1250,0.0000,-161.42
