vary,param,same_layer,ESS
angular,n=1.5_B,0.1831,60
angular,n=1.5_A,0.0319,59
angular,n=2.0_B,0.0788,73
angular,n=2.0_A,0.0142,54
angular,n=2.5_B,0.0339,61
angular,n=2.5_A,0.0064,41
angular,n=3.0_B,0.0149,50
angular,n=3.0_A,0.0029,33
gap,8,0.1121,75
gap,9,0.0919,57
gap,10,0.0800,42
gap,11,0.0732,30
gap,12,0.0383,36
Lsep,8,0.0325,143
Lsep,9,0.0589,46
Lsep,10,0.0800,42
Lsep,11,0.0848,45
Lsep,12,0.1093,55
xoff,-2,0.0601,93
yoff,-2,0.0778,72
xoff,-1,0.0682,66
yoff,-1,0.0725,20
xoff,-0.5,0.0811,38
yoff,-0.5,0.0680,60
xoff,0.5,0.0801,42
yoff,0.5,0.0858,45
xoff,1,0.0624,39
yoff,1,0.0820,44
xoff,2,0.0669,30
yoff,2,0.0668,62
